Name,Age,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
L. Zander,22,67,66.0,35.0,57.0,62.0,31.0,57.0,41.0,36.0,53.0,63.0,74.0,78.0,68.0,63.0,64.0,46.0,69.0,75.0,64.0,32.0,66.0,59.0,48.0,39.0,36.0,62.0,64.0,69.0,65.0,16.0,16.0,8.0,15.0,11.0
Curro Sánchez,22,67,65.0,60.0,43.0,68.0,51.0,67.0,74.0,65.0,59.0,69.0,72.0,67.0,75.0,59.0,69.0,48.0,45.0,64.0,43.0,65.0,38.0,41.0,66.0,70.0,56.0,56.0,36.0,46.0,35.0,12.0,9.0,9.0,8.0,8.0
Santamaría,33,67,15.0,20.0,20.0,17.0,17.0,12.0,30.0,20.0,11.0,15.0,48.0,46.0,49.0,62.0,60.0,25.0,72.0,40.0,62.0,12.0,36.0,22.0,13.0,38.0,16.0,47.0,12.0,15.0,11.0,69.0,72.0,65.0,67.0,59.0
Z. Dedič,33,67,59.0,67.0,57.0,60.0,64.0,67.0,62.0,61.0,54.0,68.0,75.0,69.0,72.0,66.0,69.0,73.0,68.0,70.0,68.0,67.0,72.0,33.0,62.0,63.0,70.0,61.0,32.0,32.0,30.0,16.0,15.0,9.0,16.0,9.0
C. Vargas,28,67,16.0,19.0,14.0,25.0,18.0,13.0,20.0,18.0,16.0,19.0,45.0,42.0,38.0,65.0,47.0,18.0,73.0,38.0,56.0,20.0,23.0,20.0,12.0,30.0,21.0,32.0,20.0,11.0,19.0,68.0,66.0,57.0,66.0,65.0
Akieme,20,67,64.0,26.0,57.0,62.0,21.0,63.0,33.0,36.0,43.0,65.0,76.0,73.0,72.0,60.0,79.0,49.0,75.0,70.0,60.0,44.0,65.0,66.0,55.0,40.0,40.0,49.0,64.0,64.0,66.0,8.0,11.0,14.0,15.0,13.0
Tete Morente,21,67,64.0,65.0,60.0,58.0,59.0,70.0,63.0,58.0,57.0,69.0,86.0,80.0,79.0,56.0,57.0,64.0,64.0,71.0,67.0,65.0,63.0,40.0,61.0,59.0,59.0,57.0,46.0,35.0,28.0,13.0,9.0,7.0,11.0,10.0
Shin Hyung Min,31,67,68.0,50.0,58.0,73.0,66.0,63.0,73.0,67.0,69.0,64.0,67.0,60.0,63.0,70.0,61.0,81.0,77.0,83.0,71.0,72.0,64.0,69.0,66.0,66.0,68.0,66.0,61.0,63.0,61.0,9.0,15.0,7.0,12.0,9.0
N. Yennaris,25,67,59.0,63.0,53.0,64.0,29.0,62.0,53.0,25.0,66.0,65.0,75.0,73.0,81.0,72.0,82.0,63.0,74.0,78.0,64.0,58.0,68.0,67.0,64.0,65.0,50.0,66.0,69.0,69.0,66.0,11.0,7.0,13.0,7.0,8.0
P. van Ooijen,26,67,64.0,58.0,57.0,70.0,63.0,66.0,70.0,53.0,67.0,68.0,58.0,67.0,67.0,64.0,71.0,70.0,64.0,62.0,61.0,71.0,45.0,54.0,62.0,68.0,61.0,68.0,55.0,61.0,59.0,15.0,11.0,11.0,9.0,7.0
G. Cvijanović,31,67,61.0,66.0,43.0,67.0,68.0,67.0,50.0,67.0,69.0,69.0,69.0,64.0,60.0,63.0,67.0,76.0,57.0,79.0,70.0,67.0,66.0,63.0,69.0,61.0,63.0,68.0,49.0,54.0,52.0,8.0,14.0,10.0,13.0,12.0
T. Taguchi,27,67,60.0,52.0,40.0,68.0,45.0,66.0,63.0,65.0,62.0,68.0,71.0,74.0,81.0,67.0,69.0,55.0,65.0,86.0,63.0,65.0,40.0,57.0,58.0,68.0,48.0,57.0,45.0,61.0,52.0,10.0,6.0,9.0,13.0,15.0
M. Saunier,28,67,38.0,16.0,62.0,66.0,47.0,50.0,24.0,22.0,69.0,63.0,35.0,51.0,55.0,67.0,60.0,68.0,74.0,65.0,73.0,46.0,68.0,73.0,18.0,45.0,55.0,62.0,52.0,69.0,71.0,8.0,12.0,11.0,13.0,14.0
L. Parunashvili,25,67,56.0,44.0,47.0,69.0,66.0,57.0,43.0,43.0,68.0,66.0,58.0,58.0,62.0,69.0,68.0,55.0,54.0,77.0,61.0,48.0,48.0,63.0,51.0,67.0,45.0,72.0,67.0,66.0,56.0,8.0,15.0,10.0,15.0,10.0
R. Acquafresca,30,67,56.0,65.0,71.0,60.0,68.0,64.0,57.0,50.0,35.0,65.0,69.0,68.0,67.0,64.0,56.0,68.0,77.0,56.0,74.0,44.0,46.0,13.0,70.0,50.0,68.0,69.0,40.0,13.0,12.0,13.0,9.0,12.0,15.0,10.0
C. Tabó,24,67,60.0,61.0,41.0,61.0,54.0,72.0,71.0,61.0,59.0,68.0,83.0,81.0,76.0,51.0,71.0,60.0,65.0,64.0,64.0,54.0,36.0,23.0,66.0,56.0,50.0,60.0,24.0,26.0,29.0,6.0,8.0,9.0,9.0,14.0
Claytisco Branco,34,67,71.0,46.0,60.0,64.0,52.0,52.0,57.0,45.0,63.0,59.0,63.0,61.0,58.0,65.0,51.0,63.0,52.0,57.0,67.0,54.0,77.0,72.0,55.0,52.0,56.0,61.0,70.0,76.0,66.0,18.0,13.0,15.0,11.0,17.0
S. Nijland,29,67,62.0,65.0,63.0,69.0,72.0,69.0,74.0,68.0,62.0,69.0,59.0,58.0,68.0,63.0,46.0,75.0,35.0,32.0,65.0,71.0,50.0,34.0,64.0,66.0,66.0,68.0,28.0,23.0,33.0,12.0,6.0,14.0,14.0,13.0
J. Guthrie,25,67,50.0,28.0,67.0,58.0,19.0,54.0,48.0,38.0,56.0,56.0,66.0,65.0,45.0,58.0,58.0,37.0,70.0,82.0,80.0,18.0,66.0,64.0,35.0,54.0,40.0,68.0,65.0,66.0,65.0,7.0,9.0,13.0,14.0,10.0
J. Fernández,23,67,42.0,49.0,64.0,61.0,36.0,59.0,41.0,43.0,59.0,63.0,75.0,74.0,64.0,59.0,75.0,61.0,61.0,92.0,72.0,56.0,67.0,70.0,55.0,60.0,52.0,64.0,68.0,67.0,65.0,10.0,15.0,12.0,9.0,12.0
R. Crivello,26,67,65.0,46.0,57.0,65.0,30.0,59.0,54.0,32.0,58.0,59.0,72.0,72.0,58.0,68.0,58.0,48.0,59.0,79.0,64.0,38.0,58.0,63.0,55.0,57.0,37.0,67.0,66.0,62.0,66.0,6.0,11.0,7.0,13.0,9.0
T. Ayasse,31,67,59.0,41.0,61.0,66.0,44.0,48.0,64.0,52.0,60.0,62.0,55.0,50.0,60.0,69.0,62.0,63.0,86.0,91.0,74.0,66.0,72.0,66.0,60.0,66.0,54.0,70.0,65.0,62.0,60.0,13.0,11.0,14.0,9.0,15.0
D. Zúñiga,21,67,64.0,34.0,45.0,65.0,35.0,63.0,48.0,44.0,62.0,62.0,74.0,75.0,65.0,59.0,75.0,59.0,59.0,81.0,66.0,55.0,45.0,61.0,55.0,49.0,38.0,57.0,69.0,68.0,66.0,6.0,13.0,13.0,13.0,15.0
L. Załuska,36,67,33.0,18.0,14.0,42.0,12.0,29.0,12.0,21.0,38.0,23.0,54.0,41.0,43.0,70.0,46.0,19.0,77.0,28.0,72.0,15.0,22.0,22.0,15.0,19.0,45.0,63.0,19.0,24.0,25.0,62.0,65.0,67.0,68.0,67.0
R. Vasilev,27,67,38.0,67.0,70.0,55.0,67.0,65.0,54.0,50.0,35.0,67.0,66.0,68.0,62.0,51.0,56.0,71.0,63.0,65.0,67.0,66.0,36.0,44.0,66.0,16.0,45.0,22.0,15.0,13.0,14.0,6.0,12.0,10.0,6.0,6.0
M. Schmerböck,24,67,60.0,67.0,56.0,63.0,62.0,69.0,65.0,34.0,60.0,66.0,77.0,77.0,78.0,63.0,64.0,65.0,63.0,66.0,65.0,66.0,46.0,42.0,64.0,60.0,46.0,58.0,27.0,27.0,30.0,12.0,14.0,12.0,8.0,6.0
Y. Abe,36,67,71.0,67.0,62.0,73.0,69.0,60.0,72.0,71.0,70.0,72.0,56.0,39.0,62.0,62.0,63.0,66.0,64.0,58.0,61.0,72.0,62.0,63.0,47.0,67.0,70.0,75.0,64.0,64.0,61.0,15.0,12.0,14.0,12.0,9.0
J. Ruiz,20,67,58.0,34.0,59.0,62.0,38.0,57.0,41.0,40.0,58.0,65.0,68.0,69.0,61.0,59.0,51.0,58.0,72.0,67.0,76.0,41.0,63.0,67.0,59.0,59.0,49.0,65.0,65.0,67.0,63.0,6.0,13.0,9.0,9.0,7.0
M. Bravo,31,67,62.0,61.0,66.0,67.0,62.0,69.0,59.0,53.0,64.0,66.0,70.0,75.0,75.0,60.0,77.0,71.0,77.0,74.0,68.0,66.0,59.0,30.0,63.0,61.0,67.0,77.0,32.0,31.0,27.0,9.0,6.0,7.0,11.0,16.0
Augusto,30,67,54.0,44.0,52.0,65.0,36.0,61.0,41.0,40.0,65.0,64.0,71.0,64.0,69.0,62.0,65.0,29.0,58.0,72.0,70.0,46.0,78.0,64.0,59.0,63.0,41.0,62.0,54.0,71.0,66.0,12.0,13.0,10.0,9.0,7.0
A. Maxsø,24,67,41.0,68.0,73.0,61.0,31.0,32.0,39.0,30.0,59.0,62.0,44.0,59.0,48.0,61.0,66.0,52.0,83.0,75.0,70.0,31.0,56.0,64.0,44.0,34.0,37.0,61.0,62.0,67.0,71.0,10.0,9.0,10.0,16.0,10.0
D. Vergara,21,67,53.0,67.0,42.0,56.0,52.0,71.0,41.0,27.0,49.0,64.0,75.0,73.0,79.0,65.0,66.0,55.0,54.0,90.0,65.0,61.0,42.0,38.0,70.0,67.0,61.0,63.0,45.0,12.0,17.0,9.0,6.0,9.0,7.0,13.0
Park Dong Jin,23,67,48.0,26.0,63.0,54.0,21.0,42.0,27.0,28.0,48.0,52.0,67.0,64.0,66.0,65.0,65.0,46.0,66.0,67.0,75.0,38.0,80.0,66.0,35.0,28.0,31.0,62.0,65.0,64.0,63.0,8.0,11.0,11.0,8.0,14.0
A. Maksimenko,20,67,12.0,6.0,11.0,17.0,6.0,14.0,13.0,13.0,27.0,16.0,35.0,41.0,24.0,46.0,38.0,21.0,51.0,23.0,58.0,6.0,28.0,6.0,8.0,35.0,13.0,22.0,19.0,12.0,12.0,71.0,64.0,67.0,66.0,75.0
M. Vrushaj,19,67,57.0,66.0,57.0,65.0,61.0,72.0,61.0,53.0,62.0,70.0,75.0,72.0,74.0,55.0,67.0,75.0,54.0,62.0,53.0,64.0,46.0,28.0,67.0,58.0,66.0,62.0,43.0,30.0,33.0,14.0,14.0,11.0,12.0,13.0
L. Garbutt,25,67,72.0,49.0,59.0,66.0,44.0,65.0,77.0,76.0,63.0,67.0,69.0,67.0,70.0,64.0,69.0,60.0,71.0,71.0,66.0,63.0,67.0,64.0,64.0,63.0,43.0,63.0,62.0,66.0,67.0,14.0,9.0,6.0,15.0,10.0
G. Munari,35,67,69.0,61.0,74.0,68.0,71.0,62.0,65.0,46.0,65.0,66.0,37.0,30.0,72.0,65.0,38.0,74.0,76.0,68.0,89.0,74.0,77.0,66.0,65.0,66.0,46.0,71.0,64.0,61.0,61.0,11.0,6.0,15.0,12.0,13.0
C. Burke,26,67,22.0,68.0,69.0,53.0,62.0,59.0,43.0,41.0,29.0,66.0,80.0,73.0,50.0,62.0,44.0,69.0,75.0,62.0,77.0,51.0,66.0,14.0,63.0,37.0,65.0,60.0,23.0,20.0,18.0,10.0,8.0,9.0,11.0,8.0
Rudy,29,67,62.0,64.0,62.0,63.0,63.0,70.0,60.0,59.0,58.0,69.0,74.0,79.0,75.0,64.0,54.0,69.0,34.0,63.0,70.0,64.0,32.0,42.0,61.0,62.0,58.0,64.0,31.0,39.0,28.0,8.0,10.0,10.0,11.0,12.0
S. Knežević,21,67,29.0,37.0,61.0,59.0,30.0,45.0,28.0,29.0,57.0,48.0,47.0,48.0,52.0,60.0,54.0,34.0,73.0,69.0,73.0,31.0,71.0,67.0,29.0,33.0,33.0,60.0,69.0,68.0,68.0,9.0,10.0,11.0,15.0,15.0
M. Heider,32,67,65.0,65.0,66.0,58.0,65.0,62.0,54.0,47.0,55.0,66.0,65.0,72.0,66.0,59.0,57.0,73.0,75.0,87.0,77.0,61.0,74.0,55.0,67.0,68.0,58.0,77.0,41.0,50.0,40.0,10.0,12.0,10.0,8.0,15.0
L. Gutiérrez,33,67,59.0,39.0,59.0,33.0,37.0,44.0,48.0,40.0,35.0,47.0,64.0,61.0,68.0,68.0,60.0,51.0,72.0,78.0,78.0,47.0,76.0,62.0,49.0,45.0,42.0,54.0,72.0,71.0,64.0,11.0,7.0,8.0,12.0,12.0
J. Alnwick,25,67,20.0,14.0,17.0,29.0,11.0,11.0,21.0,29.0,28.0,31.0,42.0,53.0,50.0,61.0,52.0,32.0,70.0,41.0,60.0,12.0,39.0,20.0,12.0,53.0,44.0,47.0,11.0,21.0,20.0,68.0,66.0,61.0,66.0,68.0
S. O'Donnell,26,67,65.0,53.0,59.0,67.0,31.0,66.0,56.0,44.0,64.0,67.0,75.0,71.0,71.0,66.0,68.0,63.0,71.0,86.0,83.0,49.0,70.0,59.0,58.0,55.0,45.0,58.0,50.0,67.0,65.0,8.0,11.0,14.0,15.0,12.0
S. Edera,21,67,64.0,64.0,52.0,65.0,62.0,73.0,69.0,55.0,58.0,71.0,68.0,68.0,69.0,56.0,72.0,69.0,44.0,51.0,40.0,70.0,39.0,18.0,62.0,65.0,60.0,56.0,56.0,32.0,34.0,10.0,11.0,14.0,9.0,14.0
A. Arellano,23,67,51.0,44.0,57.0,67.0,44.0,63.0,58.0,48.0,65.0,66.0,69.0,71.0,68.0,66.0,77.0,66.0,61.0,78.0,66.0,60.0,71.0,66.0,54.0,60.0,61.0,67.0,65.0,65.0,64.0,14.0,8.0,15.0,13.0,13.0
G. Hupperts,26,67,66.0,60.0,58.0,62.0,59.0,68.0,56.0,55.0,57.0,68.0,73.0,82.0,75.0,64.0,72.0,72.0,72.0,72.0,64.0,66.0,52.0,45.0,65.0,58.0,51.0,57.0,39.0,41.0,37.0,10.0,9.0,15.0,7.0,14.0
L. Isgrove,25,67,62.0,52.0,46.0,59.0,47.0,68.0,53.0,43.0,56.0,66.0,90.0,87.0,79.0,60.0,79.0,52.0,75.0,72.0,59.0,47.0,51.0,24.0,61.0,60.0,49.0,52.0,37.0,40.0,16.0,9.0,11.0,7.0,12.0,9.0
M. Lampson,28,67,18.0,17.0,22.0,33.0,15.0,13.0,13.0,17.0,38.0,38.0,48.0,43.0,39.0,59.0,43.0,20.0,60.0,23.0,77.0,14.0,35.0,27.0,20.0,53.0,16.0,47.0,11.0,11.0,14.0,67.0,66.0,68.0,67.0,69.0
R. Di Gennaro,24,67,11.0,14.0,15.0,26.0,19.0,18.0,12.0,17.0,18.0,25.0,40.0,46.0,36.0,64.0,41.0,22.0,60.0,39.0,50.0,11.0,21.0,22.0,12.0,41.0,25.0,67.0,4.0,19.0,16.0,68.0,64.0,59.0,63.0,70.0
Melvin Regalito,26,67,60.0,60.0,58.0,64.0,63.0,72.0,61.0,59.0,55.0,65.0,73.0,59.0,58.0,62.0,51.0,58.0,57.0,63.0,62.0,60.0,60.0,25.0,70.0,70.0,53.0,57.0,31.0,22.0,29.0,19.0,11.0,11.0,12.0,12.0
L. Akins,29,67,65.0,66.0,60.0,62.0,52.0,68.0,58.0,47.0,56.0,63.0,78.0,78.0,75.0,57.0,68.0,71.0,71.0,78.0,80.0,69.0,69.0,57.0,66.0,54.0,60.0,50.0,55.0,57.0,56.0,11.0,12.0,12.0,6.0,11.0
J. Valencia,26,67,26.0,62.0,65.0,59.0,58.0,64.0,38.0,32.0,31.0,68.0,70.0,73.0,68.0,65.0,61.0,68.0,72.0,68.0,84.0,62.0,74.0,21.0,62.0,40.0,64.0,57.0,22.0,18.0,17.0,10.0,11.0,16.0,14.0,11.0
L. Ayçiçek,24,67,69.0,52.0,40.0,63.0,54.0,72.0,71.0,76.0,57.0,71.0,76.0,67.0,86.0,60.0,93.0,62.0,65.0,66.0,45.0,55.0,55.0,48.0,64.0,63.0,47.0,60.0,45.0,32.0,33.0,7.0,9.0,13.0,14.0,15.0
E. Albín,29,67,66.0,39.0,50.0,65.0,50.0,67.0,48.0,49.0,61.0,66.0,74.0,73.0,68.0,64.0,79.0,51.0,80.0,72.0,57.0,43.0,58.0,65.0,54.0,53.0,64.0,56.0,55.0,67.0,66.0,9.0,9.0,10.0,14.0,16.0
M. Troiano,33,67,48.0,45.0,65.0,71.0,55.0,51.0,54.0,60.0,68.0,66.0,61.0,58.0,57.0,71.0,35.0,70.0,72.0,85.0,85.0,55.0,76.0,70.0,53.0,65.0,80.0,65.0,60.0,65.0,61.0,4.0,10.0,12.0,6.0,13.0
F. Escobar,23,67,30.0,25.0,70.0,47.0,28.0,41.0,30.0,40.0,48.0,40.0,75.0,78.0,62.0,64.0,68.0,60.0,76.0,79.0,77.0,55.0,77.0,66.0,35.0,33.0,47.0,61.0,66.0,65.0,65.0,10.0,14.0,15.0,9.0,11.0
N. Linares,22,67,56.0,52.0,51.0,69.0,54.0,67.0,53.0,56.0,63.0,65.0,66.0,64.0,62.0,64.0,74.0,62.0,60.0,72.0,63.0,50.0,60.0,67.0,52.0,63.0,58.0,60.0,68.0,66.0,64.0,9.0,7.0,7.0,14.0,13.0
J. Ávila,26,67,26.0,19.0,76.0,57.0,28.0,27.0,27.0,23.0,67.0,57.0,33.0,32.0,31.0,63.0,32.0,57.0,30.0,53.0,92.0,56.0,72.0,66.0,30.0,48.0,33.0,56.0,63.0,70.0,54.0,14.0,9.0,9.0,8.0,14.0
Nuno Valente,26,67,59.0,56.0,53.0,70.0,50.0,68.0,60.0,51.0,66.0,69.0,72.0,69.0,74.0,68.0,75.0,68.0,65.0,74.0,59.0,63.0,47.0,55.0,63.0,69.0,73.0,63.0,46.0,50.0,52.0,11.0,10.0,15.0,14.0,6.0
R. Baku,20,67,56.0,60.0,51.0,75.0,45.0,72.0,47.0,45.0,66.0,71.0,79.0,78.0,79.0,65.0,90.0,58.0,75.0,69.0,55.0,52.0,70.0,66.0,60.0,60.0,50.0,56.0,69.0,55.0,57.0,12.0,8.0,7.0,10.0,9.0
Samu,22,67,54.0,53.0,48.0,65.0,46.0,71.0,61.0,50.0,58.0,70.0,78.0,76.0,77.0,71.0,82.0,61.0,63.0,67.0,43.0,41.0,56.0,32.0,66.0,59.0,61.0,60.0,44.0,42.0,40.0,12.0,9.0,11.0,9.0,8.0
D. Vicencio,25,67,25.0,17.0,71.0,55.0,28.0,51.0,21.0,25.0,52.0,45.0,62.0,47.0,54.0,65.0,66.0,31.0,89.0,62.0,72.0,18.0,58.0,64.0,48.0,36.0,38.0,61.0,68.0,68.0,66.0,14.0,14.0,9.0,12.0,6.0
C. Shields,27,67,53.0,56.0,58.0,66.0,38.0,55.0,45.0,48.0,60.0,63.0,44.0,61.0,54.0,63.0,76.0,58.0,70.0,85.0,78.0,55.0,74.0,65.0,56.0,60.0,56.0,66.0,64.0,64.0,63.0,10.0,12.0,16.0,16.0,8.0
Choi Sung Keun,26,67,56.0,54.0,43.0,68.0,36.0,63.0,34.0,35.0,66.0,65.0,75.0,68.0,69.0,65.0,65.0,59.0,62.0,77.0,73.0,63.0,67.0,65.0,57.0,68.0,38.0,53.0,54.0,63.0,61.0,7.0,13.0,15.0,10.0,15.0
O. Sow,28,67,49.0,65.0,61.0,63.0,47.0,68.0,48.0,48.0,49.0,68.0,74.0,86.0,75.0,51.0,55.0,70.0,59.0,62.0,80.0,63.0,55.0,25.0,61.0,61.0,62.0,71.0,42.0,17.0,21.0,10.0,8.0,11.0,11.0,12.0
L. Orejuela,22,67,66.0,39.0,55.0,63.0,35.0,66.0,42.0,33.0,59.0,62.0,78.0,82.0,75.0,58.0,68.0,63.0,81.0,80.0,70.0,40.0,67.0,60.0,62.0,56.0,35.0,60.0,58.0,66.0,69.0,7.0,15.0,12.0,12.0,11.0
S. Leuko,24,67,64.0,42.0,59.0,62.0,51.0,55.0,63.0,39.0,53.0,60.0,74.0,77.0,75.0,57.0,81.0,71.0,62.0,80.0,66.0,50.0,63.0,61.0,52.0,45.0,41.0,55.0,60.0,66.0,68.0,15.0,8.0,7.0,10.0,12.0
D. Goutas,24,67,33.0,36.0,65.0,48.0,34.0,39.0,31.0,35.0,43.0,46.0,55.0,67.0,51.0,60.0,48.0,55.0,56.0,69.0,77.0,44.0,70.0,65.0,46.0,40.0,43.0,61.0,69.0,68.0,67.0,5.0,12.0,14.0,13.0,11.0
Wilsson Rosito,34,67,73.0,45.0,55.0,66.0,47.0,71.0,77.0,75.0,76.0,72.0,78.0,67.0,81.0,59.0,77.0,72.0,56.0,62.0,61.0,61.0,44.0,44.0,67.0,58.0,67.0,62.0,26.0,22.0,22.0,9.0,8.0,7.0,9.0,7.0
D. Rigo,19,67,67.0,54.0,48.0,75.0,60.0,70.0,68.0,57.0,70.0,73.0,65.0,62.0,67.0,57.0,62.0,65.0,44.0,51.0,45.0,56.0,45.0,55.0,58.0,74.0,55.0,68.0,44.0,40.0,33.0,15.0,14.0,9.0,8.0,8.0
A. Bastoni,19,67,33.0,26.0,69.0,55.0,35.0,36.0,37.0,36.0,42.0,45.0,52.0,55.0,42.0,56.0,57.0,49.0,71.0,55.0,63.0,25.0,64.0,60.0,43.0,38.0,47.0,52.0,73.0,74.0,68.0,11.0,5.0,9.0,11.0,12.0
S. Eastwood,29,67,15.0,13.0,15.0,23.0,15.0,14.0,18.0,19.0,29.0,19.0,48.0,52.0,62.0,67.0,44.0,24.0,64.0,40.0,68.0,13.0,41.0,27.0,16.0,31.0,23.0,46.0,24.0,16.0,13.0,65.0,60.0,62.0,67.0,71.0
T. Boyd,27,67,32.0,67.0,78.0,57.0,70.0,54.0,43.0,38.0,35.0,62.0,53.0,53.0,54.0,64.0,55.0,76.0,76.0,48.0,83.0,63.0,73.0,25.0,66.0,41.0,58.0,60.0,23.0,29.0,22.0,14.0,10.0,13.0,15.0,10.0
F. Nájera,34,67,40.0,45.0,77.0,53.0,27.0,35.0,25.0,50.0,55.0,45.0,31.0,45.0,45.0,71.0,45.0,59.0,54.0,47.0,80.0,24.0,75.0,65.0,30.0,35.0,45.0,70.0,55.0,67.0,65.0,6.0,10.0,12.0,12.0,15.0
Jairo,24,67,68.0,63.0,40.0,66.0,57.0,70.0,54.0,48.0,55.0,68.0,87.0,85.0,80.0,48.0,85.0,65.0,49.0,57.0,38.0,52.0,35.0,26.0,65.0,55.0,61.0,60.0,30.0,21.0,26.0,8.0,10.0,7.0,13.0,13.0
D. Milinković,24,67,67.0,58.0,43.0,65.0,50.0,70.0,66.0,39.0,60.0,66.0,83.0,78.0,76.0,61.0,74.0,64.0,33.0,53.0,65.0,49.0,36.0,22.0,64.0,62.0,45.0,64.0,31.0,17.0,22.0,7.0,13.0,7.0,11.0,12.0
F. Ayé,21,67,28.0,69.0,70.0,60.0,55.0,69.0,38.0,30.0,44.0,65.0,79.0,82.0,73.0,55.0,61.0,63.0,72.0,65.0,74.0,55.0,55.0,12.0,64.0,53.0,57.0,62.0,18.0,17.0,19.0,10.0,8.0,15.0,10.0,7.0
J. Vachoux,23,67,12.0,19.0,17.0,22.0,10.0,16.0,14.0,10.0,18.0,20.0,42.0,45.0,39.0,65.0,41.0,24.0,38.0,32.0,28.0,17.0,19.0,23.0,18.0,34.0,23.0,50.0,13.0,15.0,10.0,69.0,63.0,63.0,66.0,69.0
N. Bajrami,19,67,57.0,59.0,48.0,74.0,53.0,66.0,60.0,47.0,70.0,66.0,73.0,75.0,71.0,64.0,69.0,66.0,63.0,68.0,61.0,51.0,66.0,56.0,63.0,65.0,47.0,70.0,58.0,59.0,61.0,14.0,6.0,10.0,7.0,9.0
P. Mandanda,28,67,11.0,10.0,14.0,23.0,13.0,11.0,15.0,14.0,20.0,22.0,48.0,46.0,58.0,63.0,42.0,22.0,75.0,18.0,63.0,18.0,23.0,17.0,11.0,32.0,14.0,46.0,18.0,18.0,16.0,70.0,61.0,66.0,63.0,71.0
M. Đurić,28,67,55.0,67.0,79.0,59.0,64.0,54.0,54.0,53.0,43.0,64.0,52.0,53.0,34.0,68.0,31.0,67.0,62.0,61.0,92.0,60.0,59.0,30.0,68.0,46.0,66.0,64.0,28.0,24.0,20.0,7.0,5.0,13.0,10.0,8.0
Éverton Luiz,30,67,63.0,42.0,56.0,62.0,57.0,62.0,38.0,70.0,61.0,66.0,63.0,55.0,60.0,68.0,80.0,76.0,71.0,54.0,63.0,64.0,78.0,72.0,47.0,62.0,57.0,67.0,70.0,66.0,71.0,10.0,8.0,10.0,14.0,11.0
Puertas,26,67,66.0,66.0,55.0,62.0,52.0,70.0,62.0,45.0,59.0,65.0,70.0,73.0,70.0,63.0,73.0,71.0,73.0,80.0,65.0,61.0,39.0,32.0,61.0,60.0,65.0,58.0,44.0,35.0,24.0,15.0,10.0,14.0,12.0,9.0
J. Duverne,20,67,47.0,25.0,67.0,64.0,32.0,55.0,44.0,28.0,59.0,59.0,62.0,64.0,64.0,61.0,68.0,39.0,73.0,68.0,67.0,30.0,61.0,66.0,55.0,52.0,33.0,63.0,66.0,69.0,69.0,13.0,9.0,8.0,6.0,12.0
G. Dicker,31,67,56.0,37.0,64.0,71.0,53.0,55.0,46.0,57.0,68.0,67.0,69.0,48.0,74.0,68.0,62.0,59.0,76.0,74.0,78.0,48.0,82.0,56.0,58.0,61.0,40.0,74.0,55.0,66.0,63.0,14.0,14.0,6.0,15.0,11.0
G. Massey,25,67,65.0,59.0,51.0,64.0,47.0,67.0,56.0,59.0,59.0,66.0,81.0,84.0,79.0,59.0,64.0,62.0,62.0,79.0,67.0,58.0,52.0,55.0,58.0,58.0,58.0,49.0,39.0,45.0,34.0,12.0,7.0,16.0,16.0,16.0
N. Stefanelli,24,67,54.0,71.0,55.0,57.0,63.0,70.0,62.0,46.0,50.0,69.0,87.0,85.0,92.0,60.0,92.0,62.0,91.0,73.0,55.0,56.0,58.0,39.0,70.0,73.0,55.0,56.0,38.0,16.0,27.0,7.0,13.0,12.0,11.0,14.0
J. Andrada,23,67,52.0,40.0,57.0,66.0,37.0,65.0,41.0,46.0,61.0,64.0,51.0,51.0,57.0,68.0,59.0,56.0,64.0,70.0,70.0,48.0,65.0,72.0,28.0,50.0,47.0,62.0,65.0,69.0,66.0,14.0,15.0,13.0,13.0,10.0
R. Zhemaletdinov,21,67,48.0,64.0,39.0,73.0,60.0,75.0,41.0,58.0,63.0,70.0,77.0,82.0,70.0,68.0,73.0,68.0,49.0,67.0,65.0,56.0,51.0,33.0,71.0,57.0,59.0,63.0,26.0,33.0,32.0,15.0,11.0,6.0,13.0,10.0
L. Sercombe,28,67,55.0,63.0,56.0,70.0,60.0,66.0,64.0,57.0,67.0,65.0,71.0,73.0,73.0,59.0,71.0,68.0,63.0,84.0,72.0,67.0,63.0,55.0,64.0,66.0,62.0,62.0,53.0,57.0,54.0,12.0,8.0,16.0,14.0,13.0
D. De Belder,26,67,63.0,71.0,58.0,62.0,63.0,60.0,56.0,53.0,56.0,63.0,72.0,72.0,70.0,64.0,66.0,66.0,74.0,72.0,68.0,62.0,63.0,38.0,68.0,61.0,65.0,57.0,31.0,39.0,20.0,12.0,15.0,10.0,15.0,15.0
J. Kubicki,22,67,49.0,58.0,60.0,70.0,49.0,59.0,54.0,38.0,64.0,67.0,74.0,75.0,66.0,70.0,75.0,59.0,62.0,86.0,70.0,59.0,78.0,66.0,52.0,64.0,43.0,71.0,58.0,68.0,63.0,9.0,15.0,6.0,13.0,10.0
